Pixels, Value
171, 55808
171,1, 55808
171,2, 55808
171,3, 55936
171,4, 55936
171,5, 55936
171,6, 55936
171,7, 55936
171,8, 55936
171,9, 55936
172, 55936
172,1, 55936
172,2, 55936
172,3, 56064
172,4, 56064
172,5, 56064
172,6, 56064
172,7, 56064
172,8, 56064
172,9, 56064
173, 56064
173,1, 56064
173,2, 56064
173,3, 56832
173,4, 56832
173,5, 56832
173,6, 56832
173,7, 56832
173,8, 56832
173,9, 56832
174, 56832
174,1, 56832
174,2, 56832
174,3, 56704
174,4, 56704
174,5, 56704
174,6, 56704
174,7, 56704
174,8, 56704
174,9, 56704
175, 56704
175,1, 56704
175,2, 56704
175,3, 56320
175,4, 56320
175,5, 56320
175,6, 56320
175,7, 56320
175,8, 56320
175,9, 56320
176, 56320
176,1, 56320
176,2, 56320
176,3, 56448
176,4, 56448
176,5, 56448
176,6, 56448
176,7, 56448
176,8, 56448
176,9, 56448
177, 56448
177,1, 56448
177,2, 56448
177,3, 56320
177,4, 56320
177,5, 56320
177,6, 56320
177,7, 56320
177,8, 56320
177,9, 56320
178, 56320
178,1, 56320
178,2, 56320
178,3, 56576
178,4, 56576
178,5, 56576
178,6, 56576
178,7, 56576
178,8, 56576
