Pixels, Value
0, 4672
128, 56832
128,1, 56832
128,2, 57152
128,3, 57152
128,4, 57152
128,5, 57152
128,6, 57152
128,7, 57152
128,8, 57152
128,9, 57152
129, 57152
129,1, 57152
129,2, 56384
129,3, 56384
129,4, 56384
129,5, 56384
129,6, 56384
129,7, 56384
129,8, 56384
129,9, 56384
130, 56384
130,1, 56384
130,2, 58304
130,3, 58304
130,4, 58304
130,5, 58304
130,6, 58304
130,7, 58304
130,8, 58304
130,9, 58304
131, 58304
131,1, 58304
131,2, 56960
131,3, 56960
131,4, 56960
131,5, 56960
131,6, 56960
131,7, 56960
131,8, 56960
131,9, 56960
132, 56960
132,1, 56960
132,2, 57344
132,3, 57344
132,4, 57344
132,5, 57344
132,6, 57344
132,7, 57344
132,8, 57344
132,9, 57344
133, 57344
133,1, 57344
133,2, 56448
133,3, 56448
133,4, 56448
133,5, 56448
133,6, 56448
133,7, 56448
133,8, 56448
133,9, 56448
134, 56448
134,1, 56448
134,2, 57344
134,3, 57344
134,4, 57344
134,5, 57344
134,6, 57344
134,7, 57344
134,8, 57344
134,9, 57344
135, 57344
135,1, 57344
135,2, 58112
135,3, 58112
135,4, 58112
135,5, 58112
135,6, 58112
135,7, 58112
135,8, 58112
135,9, 58112
136, 58112
136,1, 58112
136,2, 56960
136,3, 56960
136,4, 56960
136,5, 56960
136,6, 56960
136,7, 56960
136,8, 56960
136,9, 56960
137, 56960
137,1, 56960
137,2, 57024
137,3, 57024
137,4, 57024
137,5, 57024
137,6, 57024
137,7, 57024
137,8, 57024
137,9, 57024
138, 57024
138,1, 57024
138,2, 56640
138,3, 56640
138,4, 56640
138,5, 56640
138,6, 56640
138,7, 56640
138,8, 56640
138,9, 56640
139, 56640
139,1, 56640
139,2, 58112
139,3, 58112
139,4, 58112
139,5, 58112
139,6, 58112
139,7, 58112
139,8, 58112
139,9, 58112
140, 58112
140,1, 58112
140,2, 56512
140,3, 56512
140,4, 56512
140,5, 56512
140,6, 56512
140,7, 56512
140,8, 56512
140,9, 56512
141, 56512
141,1, 56512
141,2, 57408
141,3, 57408
141,4, 57408
141,5, 57408
141,6, 57408
141,7, 57408
141,8, 57408
141,9, 57408
142, 57408
142,1, 57408
142,2, 57664
142,3, 57664
142,4, 57664
142,5, 57664
142,6, 57664
142,7, 57664
142,8, 57664
142,9, 57664
143, 57664
143,1, 57664
143,2, 57280
143,3, 57280
143,4, 57280
143,5, 57280
143,6, 57280
143,7, 57280
143,8, 57280
143,9, 57280
144, 57280
144,1, 57280
144,2, 56000
144,3, 56000
144,4, 56000
144,5, 56000
144,6, 56000
144,7, 56000
144,8, 56000
144,9, 56000
145, 56000
145,1, 56000
145,2, 55744
145,3, 55744
145,4, 55744
145,5, 55744
145,6, 55744
145,7, 55744
145,8, 55744
145,9, 55744
146, 55744
146,1, 55744
146,2, 56320
146,3, 56320
146,4, 56320
146,5, 56320
146,6, 56320
146,7, 56320
146,8, 56320
146,9, 56320
147, 56320
147,1, 56320
147,2, 57792
147,3, 57792
147,4, 57792
147,5, 57792
147,6, 57792
147,7, 57792
147,8, 57792
147,9, 57792
148, 57792
148,1, 57792
148,2, 56256
148,3, 56256
148,4, 56256
148,5, 56256
148,6, 56256
148,7, 56256
148,8, 56256
148,9, 56256
149, 56256
149,1, 56256
149,2, 56896
149,3, 56896
149,4, 56896
149,5, 56896
149,6, 56896
149,7, 56896
149,8, 56896
149,9, 56896
150, 56896
150,1, 56896
150,2, 57792
150,3, 57792
150,4, 57792
150,5, 57792
150,6, 57792
150,7, 57792
150,8, 57792
150,9, 57792
151, 57792
151,1, 57792
151,2, 57728
151,3, 57728
151,4, 57728
151,5, 57728
151,6, 57728
151,7, 57728
151,8, 57728
151,9, 57728
152, 57728
152,1, 57728
152,2, 57280
152,3, 57280
152,4, 57280
152,5, 57280
152,6, 57280
152,7, 57280
152,8, 57280
152,9, 57280
153, 57280
153,1, 57280
153,2, 56064
153,3, 56064
153,4, 56064
153,5, 56064
153,6, 56064
153,7, 56064
153,8, 56064
153,9, 56064
154, 56064
154,1, 56064
154,2, 56576
154,3, 56576
154,4, 56576
154,5, 56576
154,6, 56576
154,7, 56576
154,8, 56576
154,9, 56576
155, 56576
155,1, 56576
155,2, 56960
155,3, 56960
155,4, 56960
155,5, 56960
155,6, 56960
155,7, 56960
155,8, 56960
155,9, 56960
156, 56960
156,1, 56960
156,2, 55680
156,3, 55680
156,4, 55680
156,5, 55680
156,6, 55680
156,7, 55680
156,8, 55680
156,9, 55680
157, 55680
157,1, 55680
157,2, 56448
157,3, 56448
157,4, 56448
157,5, 56448
157,6, 56448
157,7, 56448
157,8, 56448
157,9, 56448
158, 56448
158,1, 56448
158,2, 56512
158,3, 56512
158,4, 56512
158,5, 56512
158,6, 56512
158,7, 56512
158,8, 56512
158,9, 56512
159, 56512
159,1, 56512
159,2, 56768
159,3, 56768
159,4, 56768
159,5, 56768
159,6, 56768
159,7, 56768
159,8, 56768
159,9, 56768
160, 56768
160,1, 56768
160,2, 56768
160,3, 56768
160,4, 56768
160,5, 56768
160,6, 56768
160,7, 56768
160,8, 56768
160,9, 56768
161, 56768
161,1, 56768
161,2, 57024
161,3, 57024
161,4, 57024
161,5, 57024
161,6, 57024
161,7, 57024
161,8, 57024
161,9, 57024
162, 57024
162,1, 57024
162,2, 55936
162,3, 55936
162,4, 55936
162,5, 55936
162,6, 55936
162,7, 55936
162,8, 55936
162,9, 55936
163, 55936
163,1, 55936
163,2, 57408
163,3, 57408
163,4, 57408
163,5, 57408
163,6, 57408
163,7, 57408
163,8, 57408
163,9, 57408
164, 57408
164,1, 57408
164,2, 57408
164,3, 57408
164,4, 57408
164,5, 57408
164,6, 57408
164,7, 57408
164,8, 57408
164,9, 57408
165, 57408
165,1, 57408
165,2, 56448
165,3, 56448
165,4, 56448
165,5, 56448
165,6, 56448
165,7, 56448
165,8, 56448
165,9, 56448
166, 56448
166,1, 56448
166,2, 57920
166,3, 57920
166,4, 57920
166,5, 57920
166,6, 57920
166,7, 57920
166,8, 57920
166,9, 57920
167, 57920
167,1, 57920
167,2, 57600
167,3, 57600
167,4, 57600
167,5, 57600
167,6, 57600
167,7, 57600
167,8, 57600
167,9, 57600
168, 57600
168,1, 57600
168,2, 56256
168,3, 56256
168,4, 56256
168,5, 56256
168,6, 56256
168,7, 56256
168,8, 56256
168,9, 56256
169, 56256
169,1, 56256
169,2, 56064
169,3, 56064
169,4, 56064
169,5, 56064
169,6, 56064
169,7, 56064
169,8, 56064
169,9, 56064
170, 56064
170,1, 56064
170,2, 56512
170,3, 56512
170,4, 56512
170,5, 56512
170,6, 56512
170,7, 56512
170,8, 56512
170,9, 56512
171, 56512
